id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
305,"Digital, Data, and Technology",Health,Data Management and Policy,,,Datascope,datascope,sharmalab.github.io/Datascope,https://github.com/sharmalab/Datascope,BMI,Digital Public Goods Alliance,,,
157,State and Democracy (Good Governance),"Digital, Data, and Technology",Data Management and Policy,,,Datawheel Chile,datawheel_chile,www.datawheel.us,https://github.com/Datawheel/canon,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
622,"Digital, Data, and Technology",,Data Collection,,,DataWinners,datawinners,datawinners.com,https://github.com/mangroveorg/datawinners,Human Network Interaction (HNI),Digital Public Goods Alliance,,,
491,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Dati COVID-19 Italia,dati_covid19_italia,opendatadpc.maps.arcgis.com/apps/opsdashboard/index.html#/b0c68bce2cce478eaac82fe38d4138b1,https://github.com/pcm-dpc/COVID-19,Italian Department of Civil Protection,Digital Public Goods Alliance,,,
348,State and Democracy (Good Governance),,Democracy and the rule of law,,,Decidim,decidim,www.decidim.org,https://github.com/OpenSourcePolitics/decidim,OpenSoucePolitics,Digital Public Goods Alliance,,,
553,"Digital, Data, and Technology",,Data Collection,Data Managament and Policy,,Delve,delve,delvedatabase.org,,World Bank,Digital Public Goods Alliance,,,
472,"Digital, Data, and Technology",,Data Collection,,,Development Data Library,development_data_library,data.usaid.gov,,USAID,Digital Public Goods Alliance,,,
3,"Digital, Data, and Technology",Health,,,,DHIS2,dhis2,dhis2.org,https://github.com/dhis2/dhis2-core,"Norad; Health Information Systems Programme (HISP), University of Oslo; DHIS2",Digital Square; Digital Public Goods Alliance,,,
536,"Digital, Data, and Technology",Social Development and Education,Data Collection,Civil Society ,,DIAL Catalog of Digital Solutions,dial_catalog_of_digital_solution,registry.dial.community,https://gitlab.com/dial/osc/eng/t4d-online-catalog/product-registry,Digital Impact Alliance,DIAL OSC,No description,"The Catalog of Digital Solutions is an interactive online resource to support donors, governments, and procurers in the development and implementation of digital strategies._ The catalog aggregates data from a variety of sources (including the Digital Public Goods Alliance, WHO, Digital Square and the DIAL Open Source Center) and allows the user to identify and evaluate digital tools that may be applicable for their use cases or projects.",
264,Health,,Childcare,Neonatal,,Diaper,diaper,diaper.app,https://github.com/rubyforgood/diaper,RubyForGood,Digital Public Goods Alliance,,,
